"","SEQN","Schooling"
"1",1,NA
"2",2,5
"3",3,NA
"4",4,NA
"5",5,5
"6",6,NA
"7",7,2
"8",8,NA
"9",9,NA
"10",10,3
"11",11,NA
"12",12,4
"13",13,1
"14",14,2
"15",15,5
"16",16,1
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,1
"21",21,NA
"22",22,NA
"23",23,NA
"24",24,3
"25",25,4
"26",26,NA
"27",27,NA
"28",28,NA
"29",29,3
"30",30,NA
"31",31,NA
"32",32,NA
"33",33,3
"34",34,3
"35",35,NA
"36",36,NA
"37",37,NA
"38",38,NA
"39",39,NA
"40",40,1
"41",41,NA
"42",42,NA
"43",43,NA
"44",44,NA
"45",45,3
"46",46,2
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,NA
"51",51,NA
"52",52,NA
"53",53,NA
"54",54,NA
"55",55,5
"56",56,2
"57",57,5
"58",58,NA
"59",59,2
"60",60,NA
"61",61,NA
"62",62,NA
"63",63,NA
"64",64,4
"65",65,NA
"66",66,4
"67",67,NA
"68",68,NA
"69",69,5
"70",70,NA
"71",71,3
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,NA
"76",76,NA
"77",77,4
"78",78,NA
"79",79,NA
"80",80,1
"81",81,5
"82",82,NA
"83",83,2
"84",84,NA
"85",85,NA
"86",86,3
"87",87,NA
"88",88,NA
"89",89,NA
"90",90,3
"91",91,NA
"92",92,5
"93",93,4
"94",94,3
"95",95,2
"96",96,2
"97",97,4
"98",98,1
"99",99,NA
"100",100,NA
"101",101,5
"102",102,1
"103",103,NA
"104",104,NA
"105",105,2
"106",106,2
"107",107,3
"108",108,4
"109",109,NA
"110",110,NA
"111",111,NA
"112",112,NA
"113",113,4
"114",114,NA
"115",115,4
"116",116,NA
"117",117,2
"118",118,4
"119",119,NA
"120",120,4
"121",121,1
"122",122,2
"123",123,1
"124",124,NA
"125",125,4
"126",126,2
"127",127,5
"128",128,NA
"129",129,4
"130",130,2
"131",131,4
"132",132,4
"133",133,NA
"134",134,5
"135",135,NA
"136",136,1
"137",137,4
"138",138,NA
"139",139,NA
"140",140,NA
"141",141,3
"142",142,NA
"143",143,1
"144",144,NA
"145",145,NA
"146",146,NA
"147",147,2
"148",148,1
"149",149,3
"150",150,2
"151",151,1
"152",152,NA
"153",153,3
"154",154,NA
"155",155,NA
"156",156,4
"157",157,NA
"158",158,1
"159",159,NA
"160",160,5
"161",161,NA
"162",162,1
"163",163,1
"164",164,4
"165",165,NA
"166",166,2
"167",167,4
"168",168,4
"169",169,1
"170",170,2
"171",171,3
"172",172,4
"173",173,5
"174",174,NA
"175",175,NA
"176",176,NA
"177",177,4
"178",178,4
"179",179,3
"180",180,NA
"181",181,NA
"182",182,NA
"183",183,2
"184",184,2
"185",185,NA
"186",186,NA
"187",187,1
"188",188,3
"189",189,3
"190",190,4
"191",191,1
"192",192,2
"193",193,3
"194",194,1
"195",195,1
"196",196,NA
"197",197,1
"198",198,3
"199",199,3
